1.665e+006,3649
1.58175e+006,3446
1.50266e+006,3603
1.42753e+006,3785
1.35615e+006,3628
1.28835e+006,3456
1.22393e+006,3480
1.16273e+006,3471
1.10459e+006,3557
1.04937e+006,3556
996897,3730
947052,3466
899699,3562
854714,3630
811979,3485
771380,3726
732811,3920
696170,3404
661362,3746
628294,3489
596879,3428
567035,3452
538683,3467
511749,3628
486162,3678
461853,3727
438761,3672
416823,3816
395982,3561
376183,3628
357373,3805
339505,3711
322529,3646
306403,3575
291083,3539
276529,3590
262702,3568
249567,3724
237089,3523
225234,3689
213973,3487
203274,3578
193110,3689
183455,3686
174282,3673
165568,3478
157290,3700
149425,3587
141954,3529
134856,3626
128113,3765
121708,3613
115622,3619
109841,3545
104349,3541
99131.6,3573
94175,3693
89466.3,3566
84993,3617
80743.3,3549
76706.2,3750
72870.8,3598
69227.3,3456
65765.9,3702
62477.6,3659
59353.8,3828
56386.1,3762
53566.8,3629
50888.4,3552
48344,3611
45926.8,3517
43630.5,3690
41448.9,3756
39376.5,3557
37407.7,3660
35537.3,3483
33760.4,3628
32072.4,3537
30468.8,3605
28945.3,3924
27498.1,3549
26123.2,3511
24817,3755
23576.2,3612
22397.3,3650
21277.5,3670
20213.6,3717
19202.9,3762
18242.8,3410
17330.6,3619
16464.1,3534
15640.9,3606
14858.9,3457
14115.9,3624
13410.1,3480
12739.6,3686
12102.6,3606
11497.5,3720
10922.6,3464
10376.5,3615
9857.67,3615
9364.79,3654
8896.55,3660
8451.72,3635
8029.13,3622
7627.68,3499
7246.29,3693
6883.98,3635
6539.78,3591
6212.79,3744
5902.15,3386
5607.04,3661
5326.69,3702
5060.36,3698
4807.34,3506
4566.97,3683
4338.62,3595
4121.69,3592
3915.61,3593
3719.83,3600
3533.83,3544
3357.14,3669
3189.29,3800
3029.82,3813
2878.33,3711
2734.41,3458
2597.69,3807
2467.81,3625
2344.42,3792
2227.2,3530
2115.84,3675
2010.05,3482
1909.54,3688
1814.07,3543
1723.36,3842
1637.19,3559
1555.33,3567
1477.57,3590
1403.69,3581
1333.5,3528
1266.83,3653
1203.49,3570
1143.31,3654
1086.15,3537
1031.84,3624
980.249,3629
931.236,3597
884.674,3543
840.441,3558
798.419,3568
758.498,3627
720.573,3583
684.544,3526
650.317,3693
617.801,3719
586.911,3528
557.565,3541
529.687,3631
503.203,3665
478.043,3548
454.14,3724
431.433,3466
409.862,3565
389.369,3675
369.9,3632
351.405,3443
333.835,3569
317.143,3705
301.286,3500
286.222,3467
271.911,3365
258.315,3550
245.399,3552
233.129,3652
221.473,3593
210.399,3617
199.879,3496
189.885,3648
180.391,3616
171.372,3677
162.803,3525
154.663,3533
146.93,3637
139.583,3265
132.604,3474
125.974,3333
119.675,3623
113.691,3705
108.007,3548
102.606,3528
97.4761,3442
92.6023,3527
87.9722,3469
83.5736,3527
79.3949,3459
75.4252,3419
71.6539,3473
68.0712,3559
64.6676,3444
61.4343,3387
58.3625,3372
55.4444,3338
52.6722,3338
50.0386,3494
47.5367,3373
45.1598,3258
42.9018,3495
40.7567,3270
38.7189,3286
36.783,3339
34.9438,3524
33.1966,3348
31.5368,3271
